40070;Adelaide
40120;Adelaide Hills
40220;Alexandrina
40250;Anangu Pitjantjatjara
40310;Barossa
40430;Barunga West
40520;Berri and Barmera
40700;Burnside
40910;Campbelltown
41010;Ceduna
41060;Charles Sturt
41140;Clare and Gilbert Valleys
41190;Cleve
41330;Coober Pedy
41560;Copper Coast
41750;Elliston
41830;Flinders Ranges
41960;Franklin Harbour
42030;Gawler
42110;Goyder
42250;Grant
42600;Holdfast Bay
42750;Kangaroo Island
43080;Karoonda East Murray
43220;Kimba
43360;Kingston
43650;Light (RegC)
43710;Lower Eyre Peninsula
43790;Loxton Waikerie
43920;Mallala
44000;Maralinga Tjarutja
44060;Marion
44210;Mid Murray
44340;Mitcham
44550;Mount Barker
44620;Mount Gambier
44830;Mount Remarkable
45040;Murray Bridge (RC)
45090;Naracoorte and Lucindale
45120;Northern Areas
45290;Norwood Payneham St Peters
45340;Onkaparinga
45400;Orroroo/Carrieton
45540;Peterborough
45680;Playford
45890;Port Adelaide Enfield
46090;Port Augusta
46300;Port Lincoln
46450;Port Pirie City and Dists (M)
46510;Prospect
46670;Renmark Paringa
46860;Robe
46970;Roxby Downs (M)
47140;Salisbury
47290;Southern Mallee
47490;Streaky Bay
47630;Tatiara
47700;Tea Tree Gully
47800;The Coorong
47910;Tumby Bay
47980;Unley
48050;Victor Harbor
48130;Wakefield
48260;Walkerville (M)
48340;Wattle Range
48410;West Torrens
48540;Whyalla
48640;Wudinna
48750;Yankalilla
48830;Yorke Peninsula
49399;Unincorporated SA
